ds,y,yhat,lstm_pred,hybrid_pred
2011-03-15,14896.28,26516.790784405428,25866.33,26191.560392202715
2011-03-16,21715.11,23797.166268383735,14896.28,19346.723134191867
2011-03-17,31976.510000000002,31067.842026109272,21715.11,26391.476013054635
2011-03-18,23334.600000000002,23089.596423884086,31976.510000000002,27533.053211942046
2011-03-20,19880.99,9553.583359975011,23334.600000000002,16444.091679987505
2011-03-21,16020.1,22597.188848605332,19880.99,21239.089424302667
2011-03-22,19016.94,26583.442646352865,16020.1,21301.771323176432
2011-03-23,21566.02,23863.818130356816,19016.94,21440.379065178407
2011-03-24,36496.79,31138.11151914495,21566.02,26352.065759572477
2011-03-25,27271.1,23163.4835480159,36496.79,29830.13677400795
2011-03-27,9189.77,9634.705746238418,27271.1,18452.90287311921
2011-03-28,19961.67,22681.928865969407,9189.77,15935.849432984704
2011-03-29,37190.52,26671.800294756184,19961.67,23316.73514737809
2011-03-30,29523.85,23955.793409925114,37190.52,30573.156704962556
2011-03-31,25621.11,31230.086798711072,29523.85,30376.968399355537
2011-04-01,24487.9,23255.45882753475,25621.11,24438.284413767375
2011-04-03,6872.53,9726.681025761314,24487.9,17107.29051288066
2011-04-04,28998.010000000002,22773.90414553516,6872.53,14823.21707276758
2011-04-05,28667.42,26765.190363082045,28998.010000000002,27881.600181541024
2011-04-06,12698.32,24050.598266930872,28667.42,26359.009133465435
2011-04-07,16780.32,31326.306444453854,12698.32,22012.313222226927
2011-04-08,22673.91,23353.093262055238,16780.32,20066.70663102762
2011-04-10,9879.75,9827.145037768343,22673.91,16250.527518884172
2011-04-11,20179.7,22875.782946235526,9879.75,16377.766473117763
2011-04-12,23988.6,26867.069163930337,20179.7,23523.38458196517
2011-04-13,24450.27,24152.477067688706,23988.6,24070.538533844352
2011-04-14,35682.73,31428.185245239132,24450.27,27939.227622619568
2011-04-15,17999.181,23454.972062845674,35682.73,29568.85103142284
2011-04-17,12630.34,9934.448021066051,17999.181,13966.814510533026
2011-04-18,43671.37,22985.798020837043,12630.34,17808.06901041852
2011-04-19,18811.19,26979.79632970635,43671.37,35325.583164853175
2011-04-20,25715.8,24267.91632475131,18811.19,21539.553162375654
2011-04-21,27771.04,31546.33659354222,25715.8,28631.06829677111
2011-04-26,21536.86,27100.65976925526,27771.04,27435.84988462763
2011-04-27,23566.91,24388.7797643992,21536.86,22962.8198821996
2011-04-28,21312.18,31667.200033154186,23566.91,27617.05501657709
2011-05-01,6958.11,10176.174900271017,21312.18,15744.177450135508
2011-05-03,28877.21,27221.523208872197,6958.11,17089.8166044361
2011-05-04,27509.81,24510.971501496428,28877.21,26694.09075074821
2011-05-05,25191.79,31790.72006790132,27509.81,29650.265033950658
2011-05-06,30783.33,23821.54727431075,25191.79,24506.668637155373
2011-05-08,18731.98,10303.679827693053,30783.33,20543.504913846526
2011-05-09,21608.16,23356.358124991708,18731.98,21044.169062495854
2011-05-10,29807.25,27351.68473140414,21608.16,24479.92236570207
2011-05-11,31848.3,24641.133024108887,29807.25,27224.191512054444
2011-05-12,59827.74,31920.881590486344,31848.3,31884.590795243173
2011-05-13,25815.72,23951.708796893818,59827.74,41889.72439844691
2011-05-15,9667.15,10433.841496120423,25815.72,18124.780748060213
2011-05-16,35706.7,23486.519866290782,9667.15,16576.83493314539
2011-05-17,46361.090000000004,27481.846545692708,35706.7,31594.273272846352
2011-05-18,32775.69,24771.294911280493,46361.090000000004,35566.19245564025
2011-05-19,31521.87,32051.04355051797,32775.69,32413.366775258986
2011-05-20,25351.44,24081.870829836214,31521.87,27801.870414918107
2011-05-22,24102.0,10564.003529035317,25351.44,17957.721764517657
2011-05-23,31232.53,23616.68189921153,24102.0,23859.340949605765
2011-05-24,32460.83,27612.00857858559,31232.53,29422.269289292795
2011-05-25,21870.71,24901.45694420898,32460.83,28681.143472104493
2011-05-26,32764.38,32181.20568588661,21870.71,27025.957842943302
2011-05-27,21109.22,24212.03306760401,32764.38,28488.206533802004
2011-05-29,7338.94,10694.16597161422,21109.22,15901.69298580711
2011-05-31,18133.2,27742.17122602269,7338.94,17540.555613011344
2011-06-01,15380.39,25031.61969408124,18133.2,21582.40984704062
2011-06-02,28078.91,32311.36843569061,15380.39,23845.879217845304
2011-06-03,15024.11,24342.195817428183,28078.91,26210.55290871409
2011-06-05,25423.760000000002,10824.328721494334,15024.11,12924.219360747167
2011-06-06,16269.03,23877.007194092825,25423.760000000002,24650.383597046413
2011-06-07,33807.85,27872.33397587249,16269.03,22070.681987936245
2011-06-08,30122.23,25163.652031536356,33807.85,29485.751015768175
2011-06-09,42862.8,32445.270360954386,30122.23,31283.750180477193
2011-06-10,58245.12,24477.967330355976,42862.8,33670.383665177986
2011-06-12,12397.09,10963.839409761142,58245.12,34604.47970488057
2011-06-13,19696.66,24018.38747012665,12397.09,18207.738735063325
2011-06-14,33324.49,28015.583839560528,19696.66,23856.121919780264
2011-06-15,44954.18,25306.901895218944,33324.49,29315.69594760947
2011-06-16,32252.1,32588.520224606604,44954.18,38771.350112303306
2011-06-17,19053.53,24621.217194035486,32252.1,28436.65859701774
2011-06-19,22421.48,11107.089273489464,19053.53,15080.309636744732
2011-06-20,26110.99,24164.822139743097,22421.48,23293.15106987155
2011-06-21,19827.91,28165.203315217124,26110.99,27138.096657608563
2011-06-22,21143.75,25459.706176909494,19827.91,22643.808088454745
2011-06-23,22469.62,32744.50931229208,21143.75,26944.12965614604
2011-06-24,16016.04,24780.39108777527,22469.62,23625.005543887637
2011-06-26,7032.36,11272.632779199688,16016.04,13644.336389599845
2011-06-27,13381.75,24330.365645527738,7032.36,15681.36282276387
2011-06-28,30470.88,28330.746820973345,13381.75,20856.248410486674
2011-06-29,12569.78,25625.24968268818,30470.88,28048.06484134409
2011-06-30,41709.24,32917.28042802782,12569.78,22743.53021401391
2011-07-01,12146.44,24960.389813388658,41709.24,33334.81490669433
2011-07-03,5972.7300000000005,11467.086724744437,12146.44,11806.763362372218
2011-07-04,30941.37,24532.04720106609,5972.7300000000005,15252.388600533044
2011-07-05,25988.510000000002,28539.655986375983,30941.37,29740.512993187993
2011-07-06,22934.22,25841.386458075696,25988.510000000002,25914.94822903785
2011-07-07,27860.38,33133.41720339346,22934.22,28033.81860169673
2011-07-08,17538.5,25176.526588800283,27860.38,26518.45329440014
2011-07-10,5959.54,11683.223500109863,17538.5,14610.861750054932
2011-07-11,20008.83,24748.18397638764,5959.54,15353.861988193821
2011-07-12,17938.49,28788.518643247535,20008.83,24398.674321623766
2011-07-13,19411.52,26122.9749962788,17938.49,22030.7324981394
2011-07-14,31979.04,33447.73162303606,19411.52,26429.62581151803
2011-07-15,11814.7,25523.566889860074,31979.04,28751.30344493004
2011-07-17,16926.15,12095.715563992313,11814.7,11955.207781996156
2011-07-18,22001.63,25193.401921711786,16926.15,21059.77596085589
2011-07-19,46583.01,29233.736588533295,22001.63,25617.683294266648
2011-07-20,27021.06,26568.19294154212,46583.01,36575.60147077106
2011-07-21,30271.940000000002,33892.949568285985,27021.06,30457.00478414299
2011-07-22,14628.88,25968.784835111474,30271.940000000002,28120.362417555738
2011-07-24,26777.920000000002,12613.879332301582,14628.88,13621.379666150791
2011-07-25,19676.55,25748.038601528187,26777.920000000002,26262.979300764095
2011-07-26,17284.301,29824.846179885008,19676.55,24750.698089942503
2011-07-27,22846.13,27195.77544443878,17284.301,22240.038222219388
2011-07-28,54171.950000000004,34557.00498265363,22846.13,28701.567491326816
2011-07-29,17166.75,26669.31316099825,54171.950000000004,40420.631580499125
2011-07-31,33112.36,13314.407658180828,17166.75,15240.578829090413
2011-08-01,19778.12,26448.566927450294,33112.36,29780.463463725147
2011-08-02,20272.0,30525.374505710683,19778.12,25151.74725285534
2011-08-03,26572.83,27932.559757871157,20272.0,24102.27987893558
2011-08-04,62074.19,35330.045283794294,26572.83,30951.437641897148
2011-08-05,19703.95,27478.609449732638,62074.19,44776.39972486632
2011-08-07,7541.91,14196.215922171566,19703.95,16950.082961085784
2011-08-08,19743.98,27366.63117905964,7541.91,17454.27058952982
2011-08-09,25949.920000000002,31479.6947449281,19743.98,25611.837372464048
2011-08-10,19853.41,28886.87999716909,25949.920000000002,27418.399998584544
2011-08-11,54325.27,36284.3655230648,19853.41,28068.8877615324
2011-08-12,17970.170000000002,28432.92968900118,54325.27,41379.09984450059
2011-08-14,5701.87,15150.536161464146,17970.170000000002,16560.353080732075
2011-08-15,17235.95,28356.005398582703,5701.87,17028.937699291353
2011-08-16,16072.710000000001,32504.122944936553,17235.95,24870.036472468277
2011-08-17,48554.44,29946.362177424548,16072.710000000001,23009.536088712273
2011-08-18,54034.98,37378.90168363725,48554.44,42966.670841818624
2011-08-19,17326.07,29562.51982994547,54034.98,41798.74991497274
2011-08-21,14410.25,16350.234263055867,17326.07,16838.15213152793
2011-08-22,29617.26,29555.703500199113,14410.25,21982.97675009956
2011-08-23,22384.02,33703.82104650626,29617.26,31660.540523253127
2011-08-24,38371.37,31146.060279093228,22384.02,26765.040139546614
2011-08-25,22441.260000000002,38578.599785310835,38371.37,38474.98489265542
2011-08-26,24095.49,30783.910690015313,22441.260000000002,26612.585345007657
2011-08-28,10686.56,17615.01064003101,24095.49,20855.250320015504
2011-08-30,8805.17,35011.98294039708,10686.56,22849.27147019854
2011-08-31,20527.89,32475.914931457137,8805.17,20640.54246572857
2011-09-01,37358.62,39930.14719605001,20527.89,30229.018598025006
2011-09-02,30203.86,32135.458100788877,37358.62,34747.039050394436
2011-09-04,16930.43,18966.558050790278,30203.86,24585.20902539514
2011-09-05,35439.91,32193.720046419654,16930.43,24562.07502320983
2011-09-06,25466.97,36363.53035118916,35439.91,35901.720175594586
2011-09-07,21967.420000000002,33827.46234216192,25466.97,29647.21617108096
2011-09-08,23048.38,41281.828514081426,21967.420000000002,31624.624257040712
2011-09-09,25082.86,33487.27332599514,23048.38,28267.82666299757
2011-09-11,35206.92,20318.64109045493,25082.86,22700.750545227464
2011-09-12,27777.36,33545.93699329297,35206.92,34376.428496646484
2011-09-13,48116.5,37715.88120524462,27777.36,32746.62060262231
2011-09-14,22013.75,35179.94710345893,48116.5,41648.22355172946
2011-09-15,71926.69,42634.31327530167,22013.75,32324.031637650834
2011-09-16,23245.03,34839.75808724269,71926.69,53383.22404362135
2011-09-18,15639.55,21671.125851706536,23245.03,22458.077925853268
2011-09-19,46588.21,34898.42175210209,15639.55,25268.985876051047
2011-09-20,103377.68,39068.36596170855,46588.21,42828.28798085428
2011-09-21,38472.1,36532.431857591415,103377.68,69955.0559287957
2011-09-22,57734.98,43986.798027094555,38472.1,41229.44901354727
2011-09-23,31753.75,36192.242836673686,57734.98,46963.61141833685
2011-09-25,31164.781,23023.610596401988,31753.75,27388.680298200994
2011-09-26,29265.511,36250.9064968272,31164.781,33707.8437484136
2011-09-27,29212.32,40420.850706405254,29265.511,34843.180853202626
2011-09-28,39001.91,37884.91660226418,29212.32,33548.61830113209
2011-09-29,44671.27,45339.2827717863,39001.91,42170.59638589315
2011-09-30,40023.44,37544.727584774126,44671.27,41107.998792387065
2011-10-02,11479.98,24376.0953513969,40023.44,32199.76767569845
2011-10-03,62143.07,37603.39125529487,11479.98,24541.685627647435
2011-10-04,38532.090000000004,41773.33546828427,62143.07,51958.202734142134
2011-10-05,73975.57,39237.4013676254,38532.090000000004,38884.745683812704
2011-10-06,60258.53,46691.76754060743,73975.57,60333.66877030372
2011-10-07,49089.47,38897.21235360751,60258.53,49577.871176803754
2011-10-09,12215.51,25728.58012018409,49089.47,37409.02506009205
2011-10-10,42962.8,38955.87602410675,12215.51,25585.693012053376
2011-10-11,46401.14,43125.820237165535,42962.8,43044.31011858277
2011-10-12,27655.2,40589.88613642618,46401.14,43495.51306821309
2011-10-13,32850.25,48044.25230939483,27655.2,37849.72615469742
2011-10-14,32071.62,40249.697122422214,32850.25,36549.97356121111
2011-10-16,21767.94,27081.064889016052,32071.62,29576.342444508024
2011-10-17,46868.65,40308.3607928998,21767.94,31038.1503964499
2011-10-18,37248.16,44478.305005940674,46868.65,45673.47750297034
2011-10-19,37227.88,41942.37090522696,37248.16,39595.26545261349
2011-10-20,60910.3,49396.737078182225,37227.88,43312.308539091115
2011-10-21,60364.01,41602.18189123689,60910.3,51256.24094561845
2011-10-23,12156.57,28433.549657834796,60364.01,44398.779828917395
2011-10-24,38897.89,41660.8455617614,12156.57,26908.7077808807
2011-10-25,36113.86,45830.78977482196,38897.89,42364.339887410984
2011-10-26,34105.36,43294.855674082624,36113.86,39704.357837041316
2011-10-27,55747.200000000004,50749.22184700337,34105.36,42427.290923501685
2011-10-28,37194.58,42954.66666004447,55747.200000000004,49350.933330022235
2011-10-30,34397.95,29786.03442665354,37194.58,33490.30721332677
2011-10-31,33006.87,43013.33033062301,34397.95,38705.6401653115
2011-11-01,29069.56,47183.27454358713,33006.87,40095.07227179357
2011-11-02,38536.44,44647.34044283703,29069.56,36858.45022141851
2011-11-03,60536.090000000004,52101.7066158316,38536.44,45319.0733079158
2011-11-04,55716.47,44307.151428877856,60536.090000000004,52421.620714438934
2011-11-06,42508.590000000004,31138.519195440735,55716.47,43427.49459772037
2011-11-07,28602.73,44365.81509941606,42508.590000000004,43437.20254970803
2011-11-08,38151.91,48535.75931242033,28602.73,38569.24465621016
2011-11-09,61241.58,45999.82521169268,38151.91,42075.867605846346
2011-11-10,70373.03,53454.191384659825,61241.58,57347.88569232992
2011-11-11,36932.07,45659.636197666725,70373.03,58016.33309883336
2011-11-13,28416.010000000002,32491.003964304233,36932.07,34711.536982152116
2011-11-14,58595.22,45718.29986822792,28416.010000000002,37067.15493411396
2011-11-15,47535.51,49888.24408125351,58595.22,54241.73204062675
2011-11-16,48154.12,47352.30998049347,47535.51,47443.909990246735
2011-11-17,55683.49,54806.676153447224,48154.12,51480.39807672361
2011-11-18,36606.25,47012.120966492985,55683.49,51347.80548324649
2011-11-20,29642.39,33843.48873309143,36606.25,35224.86936654571
2011-11-21,45202.01,47070.78463703982,29642.39,38356.58731851991
2011-11-22,49438.55,51240.728850086714,45202.01,48221.36942504336
2011-11-23,71722.75,48704.794749357614,49438.55,49071.672374678805
2011-11-24,38359.69,56159.16092230919,71722.75,63940.95546115459
2011-11-25,26542.33,48364.60573528897,38359.69,43362.14786764448
2011-11-27,16969.25,35195.97350191017,26542.33,30869.151750955087
2011-11-28,51632.21,48423.26940581401,16969.25,32696.259702907006
2011-11-29,48640.57,52593.21361885189,51632.21,52112.71180942595
2011-11-30,41396.79,50057.2795181584,48640.57,49348.9247590792
2011-12-01,44405.37,57511.64569109659,41396.79,49454.21784554829
2011-12-02,44526.1,49717.09050412237,44405.37,47061.230252061185
2011-12-04,20232.0,36548.45827071057,44526.1,40537.27913535529
2011-12-05,58081.090000000004,49775.754174625894,20232.0,35003.87708731295
2011-12-06,45989.66,53945.698387743134,58081.090000000004,56013.39419387157
2011-12-07,69230.6,51409.76428695918,45989.66,48699.71214347959
2011-12-08,50395.96,58864.13045995856,69230.6,64047.36522997928
2011-12-09,184329.66,51069.575272948634,50395.96,50732.76763647432
